Sample Name,Method Name,Status,Created At,Peak #,Retention Time (s),Height,Area,FWHM,Plates,Tailing
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,1,1.900,1.26,1.18,0.877,26,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,2,2.200,1.27,1.18,0.877,35,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,3,5.000,89.75,82.22,0.800,216,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,4,6.500,2.30,82.22,3.418,20,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,5,6.800,2.28,82.22,3.419,22,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,6,7.700,1.52,82.22,0.490,1369,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,7,9.300,2.23,88.81,0.893,600,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,8,9.800,1.43,88.81,5.309,19,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,9,10.100,1.13,88.81,5.485,19,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,10,10.500,1.68,88.81,5.330,22,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,11,12.000,74.22,88.81,0.979,832,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,12,13.500,2.36,88.81,3.397,88,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,13,14.700,2.09,88.81,0.917,1424,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,14,15.000,2.13,88.81,0.917,1481,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,15,16.500,1.90,2.07,0.662,3447,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,16,17.300,1.40,2.07,1.309,968,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,17,20.000,117.34,158.51,1.208,1519,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,18,22.700,1.97,158.51,1.131,2232,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,19,23.300,2.19,158.51,0.944,3373,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,20,25.700,1.71,104.79,0.582,10789,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,21,26.900,1.26,104.79,5.550,130,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,22,27.500,1.73,104.79,5.371,145,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,23,29.900,58.06,104.79,1.401,2525,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,24,32.900,2.09,104.79,2.447,1001,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,25,33.800,2.61,104.79,1.467,2942,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,26,34.500,3.58,104.79,1.119,5263,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,27,35.100,1.23,104.79,3.443,576,
Sample_003,Standard Analysis,Completed,2026-09-09T12:54:44.7076668Z,28,35.700,1.48,104.79,3.401,610,
